id,Birth_y,Sex,LifeTime,LastLog_days_ago,LastPayment_days_ago,Sessions,Payments,Money,Level
1155,1973,male,108,3,48,153,2,"3,98",44
1156,1949,male,88,6,75,37,1,"0,99",21
1157,1956,male,344,24,47,379,20,"960,79",85
1158,1977,male,95,18,70,9,1,"1,99",44
1159,1940,male,508,6,6,12,2,"2,99",17
1160,1953,male,107,4,90,5,2,"21,98",75
1161,1936,male,110,3,110,10,2,"3,98",26
1162,1966,male,714,9,629,1380,42,"472,58",38
1163,1977,male,305,2,45,269,9,"32,91",41
1164,1965,female,301,13,41,428,7,"22,96",58
1165,1956,male,665,8,9,159,2,"10,98",37
1166,1960,female,301,13,33,152,7,"41,92",48
1167,1957,female,81,19,54,14,3,"14,97",33
1168,1950,male,906,5,92,144,10,"24,94",51
1169,1970,male,305,2,22,790,63,"2432,48",553
1170,1955,female,93,2,51,129,4,"8,97",38
1171,1954,male,712,2,132,1096,2,"1,99",22
1172,1955,male,500,14,263,215,3,"12,97",23
1173,1953,female,106,10,14,109,7,"30,96",67
1174,1962,female,263,2,211,416,6,"44,94",33
1175,1969,female,520,15,226,11,2,"1,98",4
1176,1967,female,309,10,252,100,13,"849,87",22
1177,1963,,116,2,4,25,2,"5,99",75
1178,1956,male,290,8,159,1114,4,"3,96",35
1179,1943,female,129,2,14,210,25,"1382,81",454
1180,1970,male,328,26,320,22,5,"25,95",11
1181,1956,male,151,2,32,119,4,"12,98",55
1182,1974,male,92,4,84,28,1,"4,99",28
1183,1949,female,865,15,846,116,2,4,17
1184,1952,male,494,6,6,31,1,"0,99",9
1185,1970,female,150,12,12,43,8,"60,94",91
1186,1949,male,499,6,382,361,11,"70,89",21
1187,1953,female,347,12,273,3,1,"4,99",3
1188,1970,female,324,27,118,670,8,"55,93",44
1189,1946,female,138,2,46,183,2,"10,98",35
1190,1970,male,240,8,15,205,50,"354,5",120
1191,1952,female,306,2,95,1627,3,"4,99",35
1192,1949,female,302,2,178,649,32,"160,68",24
1193,1948,male,119,19,64,6,7,"33,93",68
1194,1970,female,107,3,55,99,1,"4,99",22
1195,1978,male,190,2,186,452,1,"0,99",12
1196,1966,male,540,12,12,72,24,"193,79",99
1197,1966,male,339,24,137,937,2,"2,98",71
1198,1954,female,125,7,116,31,1,2,18
1199,1913,female,105,2,7,94,19,"84,88",79
1200,1955,female,703,2,15,17,1,"0,99",12
1201,1960,male,109,2,41,221,6,"27,96",36
1202,1959,female,332,2,272,648,1,"4,99",37
1203,1998,male,325,3,277,93,10,"195,9",42
1204,1905,female,304,2,283,108,2,"6,98",20
1205,1946,female,287,17,84,192,5,"6,96",34
1206,1971,male,117,2,90,195,2,"2,99",26
1207,1962,male,296,21,296,12,1,"19,98",25
1208,1975,female,294,27,33,129,88,"2460,08",140
1209,1966,female,107,28,37,163,19,"163,81",134
1210,1989,female,83,3,67,183,3,7,28
1211,1948,female,83,2,15,34,8,"46,93",92
1212,1957,male,130,12,118,71,3,"20,98",58
1213,1970,male,124,18,69,117,3,"4,97",39
1214,1996,female,664,21,176,223,1,"0,99",120
1215,1970,female,132,18,112,26,5,"31,96",68
1216,1980,male,107,29,107,74,1,"9,99",63
1217,1960,female,252,4,49,315,4,"19,96",44
1218,1958,male,510,26,33,13,6,"17,96",50
1219,1937,male,483,1,198,215,1,"9,99",17
1220,1985,male,206,7,31,34,16,"545,86",239
1221,1958,male,9,2,6,15,1,2,53
1222,1961,female,286,22,22,23,2,"21,97",37
1223,1964,female,296,24,286,22,1,"4,99",9
1224,1970,female,288,26,82,633,52,"339,46",131
1225,1954,female,94,2,90,187,1,"0,99",45
1226,1976,male,124,2,82,229,4,"7,96",40
1227,1949,female,117,5,116,92,1,"9,99",47
1228,1952,male,713,2,46,896,8,"14,95",90
1229,1945,male,469,6,444,895,2,"6,98",45
1230,1961,female,138,4,111,600,3,"2,97",768
1231,1953,female,119,2,41,319,1,2,38
1232,1959,female,89,27,86,24,1,"2,99",29
1233,1991,male,81,8,22,91,14,"130,86",121
1234,1970,female,347,2,341,261,1,"0,99",25
1235,1946,female,287,8,287,23,6,"29,94",13
1236,1995,female,282,2,228,344,9,"24,91",34
1237,1970,male,84,2,68,105,6,"26,95",56
1238,1957,female,288,7,273,44,2,"2,97",11
1239,1940,female,112,10,109,126,1,"9,99",28
1240,1976,male,412,2,397,134,1,"4,99",15
1241,1975,male,277,6,253,42,2,"44,98",7
1242,1951,female,115,13,95,393,9,"51,94",65
1243,1970,male,507,13,482,113,5,"36,95",18
1244,1964,male,134,22,22,62,9,"55,94",53
1245,1972,female,725,18,71,95,6,"33,95",37
1246,1957,male,333,12,25,24,9,"68,91",38
1247,1970,male,326,13,250,62,6,"74,94",14
1248,1940,male,343,2,64,296,3,"23,97",42
1249,1974,male,107,29,71,125,12,"63,9",129
1250,1964,male,101,14,86,36,1,"0,99",34
1251,1966,male,95,8,8,2,1,"1,99",12
1252,1958,male,487,2,6,1125,31,"307,69",137
1253,1968,male,137,6,97,41,2,"3,98",25
1254,1970,male,326,19,318,12,5,"44,95",8
1255,1943,male,342,3,8,45,1,"0,99",16
1256,1941,female,279,5,15,32,5,"9,98",26
1257,1939,female,81,13,77,6,2,"74,98",77
1258,1959,male,263,6,6,136,34,"192,72",103
1259,1973,male,333,12,278,556,31,"2807,66",573
1260,1988,male,290,2,13,37,1,"0,99",20
1261,1952,male,310,2,81,436,5,"5,96",29
1262,1962,female,91,29,29,4,1,"0,99",10
1263,1970,female,324,9,267,154,3,"16,97",25
1264,1955,female,92,3,87,52,3,"10,98",43
1265,1967,female,109,21,91,30,3,"33,98",137
1266,1970,female,101,10,20,38,3,"15,97",37
1267,1952,male,900,2,7,344,4,"19,96",48
1268,1980,male,704,2,167,399,4,"3,96",24
1269,1971,male,688,2,616,2236,8,"44,92",94
1270,1947,male,494,25,447,18,1,"0,99",7
1271,1956,male,116,2,12,290,14,"97,96",526
1272,1968,female,325,4,6,411,44,"325,6",267
1273,1968,male,122,3,14,90,1,2,20
1274,1961,male,92,8,73,27,9,"47,91",62
1275,1947,male,486,7,97,264,8,"33,93",54
1276,1956,female,122,2,116,173,4,"31,96",69
1277,2000,female,107,7,72,24,7,"42,94",79
1278,1962,male,499,2,66,278,5,"22,95",19
1279,1949,female,304,2,280,1149,1,"9,98",52
1280,1960,female,264,3,159,235,1,1,19
1281,1954,male,252,3,11,175,13,"45,9",50
1282,1979,male,151,9,9,7,1,"9,99",1
1283,1971,female,95,1,60,116,1,"0,99",25
1284,1988,female,90,3,90,13,1,"0,99",26
1285,1952,male,894,28,181,57,7,"110,92",54
1286,1978,male,325,8,210,316,1,"9,99",20
1287,1955,male,112,22,22,39,10,"118,9",108
1288,1957,male,110,6,99,68,2,"10,98",45
1289,1975,male,88,5,15,95,11,"106,94",121
1290,1976,male,663,14,617,1082,1,"9,99",704
1291,1948,male,97,7,43,10,1,2,29
1292,1988,male,297,2,287,472,1,"1,98",23
1293,1956,female,111,19,78,79,11,"535,93",199
1294,1964,male,85,2,79,104,1,2,28
1295,1941,female,82,1,7,228,1,"0,99",40
1296,1977,female,289,2,269,75,3,"2,97",12
1297,1961,male,140,2,2,386,21,"171,82",657
1298,1957,male,908,3,64,828,3,"5,99",50
1299,1971,female,115,2,74,176,4,"11,97",54
1300,1940,male,288,2,9,41,3,8,33
1301,1974,male,84,30,72,24,1,"0,99",24
1302,1958,female,410,2,6,37,3,"5,98",32
1303,1957,female,252,2,102,452,32,"70,66",26
1304,1953,female,688,14,451,1750,1,"0,99",34
1305,1955,female,116,2,49,751,17,"163,85",780
1306,1910,male,109,2,39,187,2,5,39
1307,1967,male,106,8,26,196,29,"411,74",177
1308,1934,female,536,9,60,454,21,"126,8",83
1309,1949,female,304,2,242,895,1,"4,99",21
1310,1954,female,121,24,90,52,4,"9,98",37
1311,1955,female,87,29,81,25,3,"6,97",36
1312,1940,male,481,16,467,40,1,"1,99",12
1313,1905,male,473,6,62,226,4,"8,98",42
1314,1947,female,111,11,89,59,3,"11,97",31
1315,1956,female,306,3,46,41,7,"24,93",27
1316,1974,male,275,2,269,73,3,"14,97",17
1317,1966,male,104,2,98,166,1,"0,99",14
1318,1995,male,84,29,80,26,3,"3,98",46
1319,1962,female,82,30,80,51,1,"0,99",17
1320,1973,male,335,28,305,164,3,"11,97",23
1321,1961,female,306,25,100,179,9,"10,91",29
1322,1951,female,127,2,47,146,8,"13,97",43
1323,1960,female,495,2,198,473,5,"115,95",152
1324,1969,female,492,2,271,879,2,"5,98",25
1325,1979,male,294,2,2,246,23,"90,88",136
1326,1952,male,287,1,1,673,207,"24194,42",641
1327,1970,male,132,2,79,547,3,"12,98",38
1328,1960,male,116,14,73,35,13,"142,9",107
1329,1959,male,897,23,189,360,2,"1,98",23
1330,1938,male,498,15,490,885,1,"4,99",63
1331,1948,male,96,2,90,116,1,2,20
1332,1962,male,682,7,680,40,1,"5,99",13
1333,1975,male,315,2,2,375,11,"36,91",76
1334,1961,female,313,10,250,101,2,"2,98",13
1335,1947,female,128,3,118,431,1,2,31
1336,1975,female,123,19,47,66,38,"591,66",190
1337,1939,male,101,3,19,39,2,"3,98",35
1338,1951,male,89,2,89,171,1,2,22
1339,1949,female,304,12,303,363,1,"0,99",31
1340,1937,female,205,2,21,157,36,"409,67",121
1341,1970,female,112,16,104,118,2,"10,98",41
1342,1969,male,87,2,17,201,1,"0,99",74
1343,1962,male,47,4,11,157,10,"51,91",86
1344,1962,male,712,2,687,1312,1,"0,99",23
1345,1970,male,336,22,117,19,3,"10,97",19
1346,1961,female,126,7,124,77,3,"6,97",23
1347,1953,male,888,7,109,919,9,"53,95",72
1348,1954,male,302,3,15,243,25,"363,76",105
1349,1945,female,114,2,2,32,12,"97,93",84
1350,1965,female,93,2,2,268,21,"137,87",114
1351,1966,male,885,2,174,311,5,"4,95",17
1352,1954,male,305,8,15,125,2,"14,98",81
1353,1948,female,693,2,2,3640,37,"207,8",76
1354,1935,female,287,10,287,5,3,"20,97",3
1355,1970,male,82,3,12,78,2,"2,99",40
1356,1970,female,89,2,79,233,2,"2,99",126
1357,1973,male,689,2,7,58,1,"4,99",23
1358,1947,male,482,2,14,777,22,"517,78",144
1359,1960,female,275,2,256,189,1,"0,99",18
1360,1962,female,123,1,2,323,16,"87,94",729
1361,1953,male,122,5,39,215,5,"109,99",219
1362,1959,female,113,2,11,211,1,"0,99",25
1363,1905,male,83,2,13,101,7,"30,96",63
1364,1970,male,337,2,181,789,2,"1,98",45
1365,1987,female,292,5,117,113,9,"23,93",43
1366,1970,female,290,24,142,12,3,"3,97",7
1367,1961,female,139,17,92,6,4,"13,98",36
1368,1947,female,122,2,33,199,3,"6,98",44
1369,1960,female,100,2,10,741,9,"84,91",82
1370,1948,female,83,2,77,194,1,"9,99",33
1371,1957,male,457,16,36,22,7,"14,94",44
1372,1956,female,241,28,112,78,1,"0,99",21
1373,1978,male,503,18,129,205,4,"26,96",142
1374,1936,female,218,5,93,165,4,"20,96",50
1375,1970,female,334,1,224,803,3,"11,97",51
1376,1967,male,300,2,294,513,1,"2,98",34
1377,1967,male,298,5,158,75,1,1,13
1378,1963,female,126,3,47,178,3,6,54
1379,1949,female,104,4,12,250,8,"29,96",63
1380,1962,male,72,2,18,245,2,"9,98",59
1381,1962,male,714,2,648,1532,5,"280,95",45
1382,1956,male,123,3,20,234,44,"1150,73",272
1383,1955,female,94,7,7,8,3,"12,97",40
1384,1963,male,81,10,62,27,2,"3,98",24
1385,1963,female,326,2,292,449,4,"16,96",25
1386,1956,female,307,2,140,1208,67,"447,31",35
1387,1956,male,280,2,81,567,14,"116,87",74
1388,1954,male,83,5,38,115,1,"4,99",21
1389,1933,male,719,12,258,404,1,"0,99",35
1390,1961,male,324,2,110,298,1,"9,99",36
1391,1985,male,136,2,118,189,4,"24,96",46
1392,1957,male,100,23,70,55,5,"66,95",114
1393,1946,female,103,2,19,323,13,"216,92",137
1394,1972,male,678,10,90,815,38,"717,63",122
1395,1943,male,499,19,20,53,4,"30,96",11
1396,1963,female,479,3,26,69,4,"15,97",69
1397,1943,female,111,2,4,514,36,"467,77",198
1398,1952,male,119,3,85,210,1,"0,99",22
1399,1984,female,281,11,169,144,4,"6,96",13
1400,1965,male,299,7,293,76,2,"5,98",13
1401,1985,female,285,2,68,189,20,"160,8",68
1402,1965,male,149,2,110,388,1,"0,99",40
1403,1969,male,204,8,169,39,2,"1,98",19
1404,1947,male,308,2,308,35,1,"0,99",7
1405,1967,female,309,2,160,251,2,"2,99",17
1406,1905,female,104,2,40,80,2,5,18
1407,1965,male,711,6,250,327,3,"6,97",32
1408,1960,male,83,26,55,53,3,"35,97",50
1409,1979,male,491,15,330,13,1,"0,99",3
1410,1955,male,481,16,481,114,1,"0,99",16
1411,1914,male,303,2,37,214,14,"32,86",40
1412,1965,female,125,2,124,129,4,"11,97",49
1413,1927,male,105,12,97,9,3,"54,97",74
1414,1972,female,82,4,76,35,2,"5,98",25
1415,1945,female,290,1,273,32,27,"239,72",11
1416,1965,female,286,25,272,63,3,"8,97",9
1417,1970,male,136,2,25,47,2,"2,99",22
1418,1967,female,711,2,41,33,1,"0,99",16
1419,1970,male,537,5,13,54,1,"0,99",17
1420,1967,male,121,24,59,51,7,"18,95",63
1421,1905,female,117,2,5,9,3,"13,99",55
1422,1974,male,350,17,336,34,3,"19,96",10
1423,1948,male,492,14,99,886,2,"10,99",55
1424,1963,female,346,4,345,196,1,"4,99",22
1425,1970,male,327,29,29,5,2,"4,98",17
1426,1975,,103,6,95,38,4,"16,97",72
1427,1970,male,96,1,69,285,1,2,30
1428,1975,male,57,2,27,78,6,"25,96",80
1429,1960,male,499,3,496,467,1,"4,99",7
1430,1970,female,326,2,132,503,9,"58,91",149
1431,1957,female,101,3,49,196,15,"84,93",108
1432,1947,male,131,2,6,248,2,"2,99",34
1433,1974,male,89,30,67,31,1,"9,99",30
1434,1960,female,490,17,397,197,21,"117,79",29
1435,1970,male,285,2,99,482,8,"16,93",29
1436,1970,male,326,30,269,40,6,"65,94",17
1437,1972,male,296,9,268,44,2,"1,98",8
1438,1953,male,289,15,223,51,11,"13,89",9
1439,1954,female,134,3,110,166,16,"96,84",85
1440,1940,female,305,3,14,868,33,"304,75",126
1441,1959,male,115,30,30,20,12,"108,9",95
1442,1945,female,707,9,74,38,6,"37,94",69
1443,1952,male,497,26,313,257,5,"56,95",48
1444,1981,male,345,2,49,299,12,"98,87",48
1445,1948,female,314,5,80,76,6,"29,94",55
1446,1956,male,277,2,116,593,27,"522,73",47
1447,1962,female,90,13,13,4,1,"9,99",7
1448,1962,female,82,2,6,272,2,4,52
1449,1969,male,80,22,74,27,3,"10,97",76
1450,1995,male,688,15,15,83,3,"12,97",25
1451,1961,female,515,2,14,326,24,"172,81",124
1452,1977,male,494,2,8,1190,34,"415,7",511
1453,1970,male,327,2,236,368,2,"2,98",18
1454,1957,female,297,20,67,280,13,"39,9",57
1455,1973,male,291,2,40,194,19,"161,78",47
1456,1958,male,139,14,138,18,1,"9,99",17
1457,1952,male,263,6,159,75,1,1,19
1458,1961,male,335,25,237,149,9,"110,91",63
1459,1966,male,120,2,35,136,2,"4,99",40
1460,1945,female,116,2,2,644,10,"76,91",86
1461,1965,female,287,2,2,440,7,"15,94",67
1462,1953,female,122,5,13,38,10,"57,92",55
1463,1958,male,100,3,99,90,4,"44,97",105
1464,1970,female,320,2,183,337,6,"5,94",15
1465,1985,male,111,20,66,115,3,"6,99",36
1466,1958,male,494,2,324,1500,2,"1,98",41
1467,1964,male,120,6,21,64,5,"16,95",54
1468,1951,female,289,3,27,120,7,"30,93",22
1469,1953,male,130,3,116,150,6,"239,97",57
1470,1979,male,334,11,326,66,1,"0,99",13
1471,1988,female,304,20,266,59,5,"141,95",20
1472,1959,male,142,8,48,79,1,"0,99",30
1473,1971,male,110,17,72,23,6,"40,94",66
1474,1955,male,535,4,117,15,3,"20,97",55
1475,1939,male,492,10,385,146,1,"0,99",17
1476,1949,female,287,3,218,55,5,"26,95",11
1477,1970,female,318,2,43,1053,25,"198,77",89
1478,1953,female,138,5,10,215,75,"1030,32",238
1479,1970,female,326,13,321,43,3,"21,97",13
1480,1965,male,324,2,29,14,1,"9,99",27
1481,1955,female,292,14,229,182,1,"0,99",17
1482,1974,female,286,2,271,118,1,"0,99",10
1483,1975,female,279,3,3,88,3,"9,98",41
1484,1958,male,250,13,237,39,8,"77,92",14
1485,1943,female,499,22,341,183,4,"15,96",20
1486,1955,female,301,24,83,218,43,"280,53",47
1487,1943,male,503,3,31,118,9,"220,92",132
1488,1962,female,297,6,69,178,3,"15,97",53
1489,1939,male,289,4,287,7,2,"1,98",6
1490,1970,female,325,12,206,488,7,"22,93",35
1491,1947,male,304,2,38,452,4,"15,97",61
1492,1969,male,281,19,54,313,43,"321,58",114
1493,1972,female,81,17,76,46,1,"4,99",32
1494,1948,male,900,3,158,23,2,"9,99",8
1495,1944,male,498,22,240,601,6,"37,92",61
1496,1948,female,714,14,68,618,6,"30,95",57
1497,1950,female,286,25,60,33,3,"5,98",19
1498,1957,female,124,26,90,62,12,"40,91",74
1499,1970,male,538,3,261,98,3,"6,97",14
1500,1956,male,508,2,13,809,62,"1362,43",219
1501,1970,male,333,2,74,223,26,"336,76",105
1502,1953,male,291,3,262,816,8,"40,92",27
1503,1953,female,95,30,95,27,1,"49,99",52
1504,1953,female,516,2,46,546,1,"0,99",32
1505,1957,male,316,29,31,29,7,"122,94",96
1506,1968,male,95,7,13,56,7,"47,93",89
1507,1958,female,88,2,81,60,2,"10,99",48
1508,1947,female,893,5,7,8,3,"6,97",18
1509,1955,male,128,2,16,209,3,"10,97",45
1510,1949,male,289,5,287,85,1,"4,99",19
1511,1955,male,114,4,7,193,29,"414,76",225
1512,1966,male,215,7,31,8,2,"53,98",74
1513,1945,female,130,23,130,7,3,"11,98",29
1514,1956,female,685,25,55,15,1,"0,99",14
1515,1970,male,499,1,10,582,10,"38,97",66
1516,1962,male,304,2,28,863,323,"6384,77",115
1517,1968,female,669,2,14,97,30,"1332,73",102
1518,1937,male,486,6,262,97,3,"15,97",13
1519,1975,female,82,3,15,174,8,"213,95",140
1520,1982,male,696,6,245,514,1,"0,99",27
1521,1967,male,98,2,23,145,1,"0,99",25
1522,1957,male,887,6,28,339,1,"0,99",24
1523,1958,male,505,19,504,90,3,"10,97",15
1524,1988,male,319,4,198,76,9,"9,9",28
1525,1982,male,299,2,22,200,7,"33,95",44
1526,1963,female,297,2,99,568,8,"52,94",48
1527,1980,male,94,4,88,57,1,2,22
1528,1959,female,299,19,218,152,18,"82,82",41
1529,1955,female,96,6,95,58,6,"37,94",66
1530,1947,female,116,12,88,12,2,"2,99",45
1531,1950,male,916,2,6,1954,27,"332,74",125
1532,1955,male,512,10,121,383,1,"4,99",34
1533,1957,male,503,18,490,191,1,"0,99",12
1534,1970,male,324,15,321,87,1,"4,99",15
1535,1944,female,278,2,47,1093,14,"41,87",53
1536,1962,female,102,28,102,4,1,2,8
1537,1960,male,490,16,230,53,2,"1,98",13
1538,1943,female,84,2,42,176,1,"0,99",22
1539,1949,male,373,16,116,28,1,"2,99",19
1540,1964,female,240,6,236,10,1,"9,99",8
1541,1951,female,239,1,196,435,4,"3,96",25
1542,1957,male,218,14,20,174,22,"283,83",144
1543,1958,male,216,2,160,188,1,1,45
1544,1980,male,96,16,89,57,3,"5,98",38
1545,1986,male,83,29,58,59,6,"32,94",58
1546,1950,male,898,1,6,107,3,"4,99",28
1547,1987,male,118,16,59,33,9,"42,93",68
1548,1970,male,139,11,135,23,3,"11,98",9
1549,1962,male,712,2,687,1340,1,"0,99",15
1550,1957,female,94,9,11,69,3,"5,99",28
1551,1970,male,886,2,58,95,1,"0,99",17
1552,1946,male,106,19,78,34,6,"17,98",40
1553,1963,male,510,18,421,129,2,"6,98",13
1554,1955,female,134,2,25,201,9,"42,93",63
1555,1955,male,97,13,82,31,1,"0,99",16
1556,1950,male,91,19,19,18,8,"43,92",54
1557,1962,female,304,1,34,1643,27,"371,7",941
1558,1965,female,295,2,238,51,5,"8,94",13
1559,1942,female,293,3,146,401,4,"58,98",40
1560,1963,female,104,3,10,48,5,"10,97",40
1561,1974,female,99,9,97,5,2,"4,99",9
1562,1936,female,83,5,12,105,8,"38,95",49
1563,1991,male,82,4,56,202,7,"32,93",73
1564,1964,female,82,2,31,153,2,4,43
1565,1954,male,533,3,82,9,1,"0,99",8
1566,1960,male,305,4,160,307,4,"20,97",132
1567,1945,female,152,5,147,147,3,"3,98",11
1568,1959,female,262,6,148,210,13,"14,88",90
1569,1952,female,253,8,12,222,34,"363,68",141
1570,1915,female,240,5,123,31,4,"6,98",20
1571,1940,male,504,2,2,666,31,"169,75",79
1572,1957,female,227,2,7,486,9,"72,92",127
1573,1967,female,135,2,2,352,17,"55,92",107
1574,1991,male,330,13,62,233,1,"0,99",40
1575,1969,male,291,25,150,360,3,"2,97",82
1576,1967,male,275,3,56,331,4,"12,98",386
1577,1943,female,98,2,4,214,7,"37,99",64
1578,1963,female,93,2,79,307,6,"9,94",51
1579,1972,male,82,19,81,6,2,"10,98",26
1580,1954,male,890,2,368,146,1,"0,99",9
1581,1946,female,106,7,80,213,7,"18,97",66
1582,1974,female,487,16,18,470,3,"2,97",43
1583,1970,male,324,2,16,471,4,"11,96",47
1584,1968,male,125,2,125,199,2,"2,99",29
1585,1940,female,86,2,68,70,1,"0,99",19
1586,1921,male,685,5,5,97,10,"23,92",58
1587,1974,male,123,18,123,17,1,"0,99",25
1588,1962,male,83,10,54,12,1,"0,99",15
1589,1905,female,302,2,28,387,13,"99,87",34
1590,1979,male,126,3,110,157,2,"2,99",35
1591,1965,male,110,12,56,74,37,"481,64",165
1592,1962,male,714,20,483,353,18,"129,82",38
1593,1977,male,524,5,514,31,1,"4,99",8
1594,1955,female,333,2,151,1205,2,"2,99",41
1595,1927,male,566,10,159,245,5,"24,95",33
1596,1979,male,436,22,165,220,1,"0,99",13
1597,1956,female,492,6,101,232,4,"9,97",42
1598,1955,male,294,2,159,1024,2,"5,99",30
1599,1945,male,57,2,46,252,7,"38,94",80
1600,1985,male,309,7,275,23,8,"14,92",15
1601,1951,female,83,1,28,78,3,"8,97",41
1602,1955,male,316,2,12,1523,11,"60,9",67
1603,1953,female,122,20,122,7,2,"19,98",43
1604,1934,male,112,2,6,354,13,"85,92",123
1605,1970,female,319,23,304,442,7,"31,93",255
1606,1957,female,315,4,107,305,8,"50,93",71
1607,1955,male,122,21,103,22,3,"6,97",26
1608,1946,female,122,2,103,45,1,"0,99",20
1609,1953,female,84,22,52,51,1,"0,99",22
1610,1976,male,536,2,262,79,1,"0,99",9
1611,1958,female,498,12,125,321,16,"104,84",35
1612,1970,male,334,4,332,12,2,"19,98",6
1613,1966,male,305,2,257,446,1,"0,99",40
1614,1976,female,115,3,20,68,13,"35,87",58
1615,1954,male,105,3,47,88,1,2,29
1616,1965,male,83,8,67,14,1,"0,99",16
1617,1970,male,324,14,147,18,7,"17,93",10
1618,1959,female,320,25,307,250,1,"0,99",21
1619,1972,male,284,2,239,158,11,"564,87",32
1620,1980,male,132,11,132,34,2,"1,99",20
1621,1958,male,295,2,152,407,1,1,18
1622,1946,female,294,1,7,750,25,"293,8",139
1623,1959,male,897,18,200,316,3,"2,97",25
1624,1934,male,305,6,226,358,18,"108,81",18
1625,1953,female,884,2,69,4384,1,"9,99",155
1626,1971,male,98,30,96,11,3,"20,97",51
1627,1951,male,479,2,348,662,2,"5,98",31
1628,1948,male,294,2,181,472,10,"15,9",32
1629,1970,male,105,3,37,115,1,2,89
1630,1958,male,898,4,98,155,9,"16,92",36
1631,1953,male,240,2,237,676,1,"9,99",70
1632,1994,male,344,11,178,476,1,"0,99",603
1633,1948,female,116,8,50,204,5,"13,96",41
1634,1957,male,288,17,212,15,3,"4,97",7
1635,1950,female,138,2,27,308,28,"197,78",96
1636,1956,female,122,4,18,183,6,"21,98",56
1637,1965,male,505,19,442,36,1,"0,99",8
1638,1962,male,346,2,283,754,15,"82,85",54
1639,1947,female,151,2,145,194,4,"28,96",29
1640,1960,male,82,2,81,183,2,"3,98",27
1641,1997,male,326,6,299,104,1,"4,99",18
1642,1961,female,112,10,101,112,3,"7,99",49
1643,1943,male,499,10,146,831,141,"9110,53",593
1644,1970,male,337,12,288,20,1,"0,99",7
1645,1965,male,290,2,151,860,1,1,9
1646,1971,male,287,7,11,392,32,"66,69",71
1647,1988,female,275,1,275,3080,1,"24,99",787
1648,1955,male,297,1,2,550,79,"684,33",168
1649,1969,male,283,24,177,75,2,"5,98",13
1650,1984,male,128,7,118,142,3,"9,98",87
1651,1968,male,360,2,33,102,1,2,29
1652,1960,male,252,26,252,19,1,"0,99",4
1653,1950,female,301,1,256,858,1,"0,99",19
1654,1950,female,123,9,111,210,4,"14,96",89
1655,1965,male,534,2,11,90,1,"0,99",36
1656,1957,male,510,2,451,1671,18,"150,82",54
1657,1970,male,319,3,112,163,2,"3,98",36
1658,1956,male,91,4,76,53,3,"43,98",53
1659,1977,female,289,2,7,501,98,"725,05",176
1660,1938,female,895,9,573,1798,5,"47,95",63
1661,1968,female,141,25,94,28,2,"2,99",19
1662,1967,male,506,1,425,897,1,"0,99",197
1663,1934,male,341,2,194,97,1,"0,99",9
1664,1956,female,305,4,184,426,18,"92,82",25
1665,1972,male,145,12,120,32,4,"57,96",56
1666,1943,male,110,2,105,69,2,"2,99",24
1667,1971,male,103,6,99,18,4,"12,97",47
1668,1963,male,712,5,28,873,1,"49,99",262
1669,1952,,540,20,128,43,6,"145,94",78
1670,1948,male,274,1,109,286,2,"4,99",30
1671,1945,male,100,18,35,51,7,"46,93",72
1672,1962,female,81,19,53,40,9,"51,92",86
1673,1940,female,423,2,237,144,4,"3,96",11
1674,1955,male,892,6,439,1177,3,"21,97",546
1675,1959,male,861,3,433,458,1,"4,99",20
1676,1969,male,500,2,209,1141,2,"2,98",45
1677,1940,male,226,2,8,509,39,"490,69",171
1678,1957,male,311,2,46,292,12,"79,9",56
1679,1959,male,296,29,185,31,3,"8,97",11
1680,1968,male,113,2,14,37,1,"0,99",17
1681,1980,male,87,28,44,12,2,"2,99",30
1682,1945,female,72,3,15,116,1,"0,99",33
1683,1905,female,306,2,17,448,5,"20,98",53
1684,1969,male,119,2,70,749,4,"13,98",25
1685,1953,male,150,8,143,29,1,"0,99",9
1686,1946,female,520,12,520,51,1,"0,99",8
1687,1967,male,115,22,84,82,11,"57,93",53
1688,1978,female,715,12,329,65,6,"25,94",25
1689,1960,female,287,2,158,683,4,"66,97",566
1690,1946,male,117,2,10,34,6,"55,95",76
1691,1948,male,89,7,71,171,8,"58,94",80
1692,1947,male,895,1,81,7553,4,"12,97",81
1693,1949,male,136,1,5,257,10,"169,94",134
1694,1954,female,80,29,71,38,3,"12,98",38
1695,1967,male,109,2,69,162,2,"3,98",25
1696,1957,male,292,2,2,640,117,"709,86",223
1697,1960,male,284,2,162,264,3,"3,97",19
1698,1950,male,141,10,86,168,21,"210,84",128
1699,1947,male,122,2,79,169,4,"15,97",53
1700,1952,female,82,21,26,52,7,"21,93",50
1701,1951,male,421,8,68,31,3,"7,98",38
1702,1966,male,241,3,7,81,2,"4,99",18
1703,1972,male,491,10,89,779,2,"26,98",101
1704,1953,female,127,4,91,203,1,"4,99",51
1705,1954,female,114,2,2,410,55,"772,77",218
1706,1960,female,170,2,7,145,17,"98,84",69
1707,1970,male,316,2,160,577,1,1,27
1708,1955,female,105,3,11,325,27,"164,79",114
1709,1963,male,502,5,299,129,3,"21,97",26
1710,1947,male,345,3,162,131,5,"32,95",31
1711,1956,female,287,2,82,437,1,2,18
1712,1944,male,82,5,64,37,1,"0,99",44
1713,1949,male,894,2,2,160,17,"325,87",163
1714,1956,female,279,2,2,1240,16,"157,97",142
